kód obce;název obce;voliči v seznamu;vydané obálky;platné hlasy;-;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
545091;Střížov;0;0;0;-;30;0;0;0;0;4;3;0;24;1;0;0;0;0;0;9;0;4;4;15;6;10;6;0;0
545104;Svatý Jan nad Malší;0;0;0;-;105;0;0;0;0;24;12;2;41;4;3;2;0;2;0;7;3;4;3;26;7;29;11;1;0
545121;Ševětín;0;0;0;-;236;0;1;2;1;66;43;5;80;5;7;0;0;0;0;43;1;4;14;62;34;66;41;1;2
545139;Štěpánovice;0;0;0;-;134;1;0;0;0;32;31;1;43;2;0;0;1;0;1;45;1;3;4;73;4;36;21;1;1
545155;Temelín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545171;Trhové Sviny;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545201;Týn nad Vltavou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535494;Úsilné;0;0;0;-;70;0;0;0;0;11;11;2;49;2;2;0;0;0;3;23;0;7;1;29;11;23;12;0;0
545228;Včelná;0;0;0;-;286;0;1;0;2;64;53;1;195;18;8;0;1;7;0;55;2;24;23;114;76;101;45;0;1
535737;Vidov;0;0;0;-;97;0;0;0;0;15;12;1;42;7;1;0;1;0;0;26;2;13;3;35;21;42;11;0;0
535893;Vitín;0;0;0;-;68;0;0;0;0;15;13;0;21;14;1;0;0;0;0;9;1;7;4;20;10;15;26;1;0
535915;Vlkov;0;0;0;-;5;0;2;0;0;1;2;0;1;0;1;0;0;0;0;2;0;0;2;3;0;5;0;0;0
545261;Vrábče;0;0;0;-;95;0;0;0;2;21;35;0;59;3;1;0;0;1;0;19;0;6;10;36;34;44;16;0;1
535796;Vráto;0;0;0;-;63;0;1;0;0;15;6;5;44;2;2;2;1;0;2;13;0;8;3;14;6;22;9;0;0
545287;Všemyslice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
545317;Záboří;0;0;0;-;36;0;0;0;1;16;6;0;17;0;1;0;0;0;3;15;2;3;1;21;6;11;21;0;0
536016;Zahájí;0;0;0;-;94;0;0;0;2;30;12;1;22;2;1;0;0;0;0;20;0;3;3;19;11;12;18;0;2
599778;Závraty;0;0;0;-;4;0;0;0;0;0;5;0;4;0;0;0;0;0;0;3;0;2;0;6;0;0;1;0;0
545341;Zliv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535591;Zvíkov;0;0;0;-;31;0;0;1;0;20;11;0;19;3;5;0;0;0;0;12;0;3;1;30;6;15;11;0;0
545368;Žabovřesky;0;0;0;-;70;0;1;0;0;16;9;1;20;1;1;0;0;1;0;16;0;0;0;22;2;33;13;0;0
545376;Žár;0;0;0;-;50;1;0;0;0;27;3;0;9;4;3;0;0;0;0;2;1;1;1;11;4;17;4;0;1
545384;Žimutice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
